"id","long","lat","avg_long","avg_lat"
10,-106.000555556,42.999444444,-105.5000000005,43.4999999995
10,-106.000555556,44.000555555,-105.5000000005,43.4999999995
10,-104.999444445,44.000555555,-105.5000000005,43.4999999995
10,-104.999444445,42.999444444,-105.5000000005,43.4999999995
11,-109.000555556,40.999444444,-108.5000000005,41.4999999995
11,-109.000555556,42.000555555,-108.5000000005,41.4999999995
11,-107.999444445,42.000555555,-108.5000000005,41.4999999995
11,-107.999444445,40.999444444,-108.5000000005,41.4999999995
12,-111.000555556,41.999444444,-110.5000000005,42.4999999995
12,-111.000555556,43.000555555,-110.5000000005,42.4999999995
12,-109.999444445,43.000555555,-110.5000000005,42.4999999995
12,-109.999444445,41.999444444,-110.5000000005,42.4999999995
13,-109.000555556,39.999444444,-108.5000000005,40.4999999995
13,-109.000555556,41.000555555,-108.5000000005,40.4999999995
13,-107.999444445,41.000555555,-108.5000000005,40.4999999995
13,-107.999444445,39.999444444,-108.5000000005,40.4999999995
14,-110.000555556,40.999444444,-109.5000000005,41.4999999995
14,-110.000555556,42.000555555,-109.5000000005,41.4999999995
14,-108.999444445,42.000555555,-109.5000000005,41.4999999995
14,-108.999444445,40.999444444,-109.5000000005,41.4999999995
15,-110.000555556,42.999444444,-109.5000000005,43.4999999995
15,-110.000555556,44.000555555,-109.5000000005,43.4999999995
15,-108.999444445,44.000555555,-109.5000000005,43.4999999995
15,-108.999444445,42.999444444,-109.5000000005,43.4999999995
16,-106.000555556,37.999444444,-105.5000000005,38.4999999995
16,-106.000555556,39.000555555,-105.5000000005,38.4999999995
16,-104.999444445,39.000555555,-105.5000000005,38.4999999995
16,-104.999444445,37.999444444,-105.5000000005,38.4999999995
17,-106.000555556,41.999444444,-105.5000000005,42.4999999995
17,-106.000555556,43.000555555,-105.5000000005,42.4999999995
17,-104.999444445,43.000555555,-105.5000000005,42.4999999995
17,-104.999444445,41.999444444,-105.5000000005,42.4999999995
18,-106.000555556,38.999444445,-105.5000000005,39.5
18,-106.000555556,40.000555555,-105.5000000005,39.5
18,-104.999444445,40.000555555,-105.5000000005,39.5
18,-104.999444445,38.999444445,-105.5000000005,39.5
19,-109.000555555,37.999444444,-108.5,38.4999999995
19,-109.000555555,39.000555555,-108.5,38.4999999995
19,-107.999444445,39.000555555,-108.5,38.4999999995
19,-107.999444445,37.999444444,-108.5,38.4999999995
20,-113.000555555,37.999444444,-112.5,38.4999999995
